"","target_id","qval_illumina_25_wt","b_illumina_25_wt","qval_illumina_30_wt","b_illumina_30_wt","qval_EPS_RNA_wt","b_EPS_RNA_wt","qval_SRR_RNA_wt","b_SRR_RNA_wt"
"1","lcl|NC_014931.1_cds_VARPA_RS03465_691",NA,NA,0.641160896,0.599523511,0.286183553756339,-0.200737139355636,0.286183553756339,-0.200737139355636
"2","lcl|NC_014931.1_cds_VARPA_RS05595_1119",0.897976385,0.035663506,0.235158237,0.333145827,0.734303637102847,0.116716025044533,0.734303637102847,0.116716025044533
"3","lcl|NC_014931.1_cds_VARPA_RS09670_1931",0.494578089,0.178347705,0.352401892,0.306294245,NA,NA,NA,NA
"4","lcl|NC_014931.1_cds_VARPA_RS09815_1962",0.700187057,-0.043226957,NA,NA,NA,NA,NA,NA
"5","lcl|NC_014931.1_cds_VARPA_RS10825_2162",NA,NA,NA,NA,0.995605543817439,0.00166021098073613,0.995605543817439,0.00166021098073613
"6","lcl|NC_014931.1_cds_VARPA_RS10890_2175",0.481846233,-0.105989236,NA,NA,0.428181434389522,-0.11826660850819,0.428181434389522,-0.11826660850819
"7","lcl|NC_014931.1_cds_VARPA_RS11625_2323",0.97127475,-0.006759531,NA,NA,NA,NA,NA,NA
"8","lcl|NC_014931.1_cds_VARPA_RS12035_2405",0.916624449,-0.015564598,0.145399736,0.344363528,NA,NA,NA,NA
"9","lcl|NC_014931.1_cds_VARPA_RS12115_2422",0.122728375,0.355804288,NA,NA,NA,NA,NA,NA
"10","lcl|NC_014931.1_cds_VARPA_RS13880_2776",0.889447021,-0.04041417,0.103643047,0.465224812,NA,NA,NA,NA
"11","lcl|NC_014931.1_cds_VARPA_RS15795_3168",0.726938787,-0.231207975,0.849928704,-0.139196591,0.805353795003302,0.195337608509618,0.805353795003302,0.195337608509618
"12","lcl|NC_014931.1_cds_VARPA_RS19490_3906",0.14724718,-0.276210713,NA,NA,NA,NA,NA,NA
"13","lcl|NC_014931.1_cds_VARPA_RS19505_3908",NA,NA,NA,NA,0.649418927770318,-0.125799995774326,0.649418927770318,-0.125799995774326
"14","lcl|NC_014931.1_cds_VARPA_RS19540_3915",NA,NA,0.125537922,0.360218148,0.323973478044322,0.248458468559552,0.323973478044322,0.248458468559552
"15","lcl|NC_014931.1_cds_VARPA_RS20425_4088",NA,NA,NA,NA,0.371437419354483,0.181158128970552,0.371437419354483,0.181158128970552
"16","lcl|NC_014931.1_cds_VARPA_RS23525_4714",0.229946369,-0.16260293,NA,NA,NA,NA,NA,NA
"17","lcl|NC_014931.1_cds_VARPA_RS25605_5131",NA,NA,0.213433092,0.33371354,NA,NA,NA,NA
"18","lcl|NC_014931.1_cds_VARPA_RS26610_5336",0.192771787,0.535875738,0.11769414,-0.639725974,0.869315035237226,0.0823033889501489,0.869315035237226,0.0823033889501489
"19","lcl|NC_014931.1_cds_VARPA_RS30290_4246",NA,NA,NA,NA,0.733900534606349,-0.0858658847383277,0.733900534606349,-0.0858658847383277
"20","lcl|NC_014931.1_cds_VARPA_RS30415_650",0.3639168,-0.20949533,0.132383811,-0.474472276,0.606442120699843,0.115684872871016,0.606442120699843,0.115684872871016
"21","lcl|NC_014931.1_cds_VARPA_RS30615_2867",0.06836054,-0.377872953,NA,NA,NA,NA,NA,NA
"22","lcl|NC_014931.1_cds_VARPA_RS30675_3770",0.109790782,0.36693729,0.785176588,0.155112098,NA,NA,NA,NA
"23","lcl|NC_014931.1_cds_VARPA_RS30815_5129",0.192703688,0.203483587,0.509402121,-0.229325809,0.264867304951911,0.286367183870227,0.264867304951911,0.286367183870227
"24","lcl|NC_014931.1_cds_VARPA_RS31375_3167",0.826730717,-0.17274719,NA,NA,NA,NA,NA,NA
