target_id,pval_significant_25_wt,qval_significant_25_wt,b_significant_25_wt,pval_significant_30_wt,qval_significant_30_wt,b_significant_30_wt,pval_significant_RNA_wt,qval_significant_RNA_wt,b_significant_RNA_wt
lcl|NC_014931.1_cds_VARPA_RS03465_691,1.17E-13,1.22E-12,-1.27778434,NA,NA,NA,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS08910_1778,1.11E-04,4.31E-04,-0.299031909,3.83E-13,3.84E-12,-3.52446399,6.37E-12,5.18E-11,0.798974046
lcl|NC_014931.1_cds_VARPA_RS09670_1931,NA,NA,NA,NA,NA,NA,7.50E-04,0.00199615,0.419540227
lcl|NC_014931.1_cds_VARPA_RS09815_1962,NA,NA,NA,0.003041212,0.006775474,0.592963355,3.17E-40,1.24E-38,-1.164707026
lcl|NC_014931.1_cds_VARPA_RS10825_2162,9.14E-14,9.70E-13,-0.789415538,2.41E-10,1.65E-09,-1.725015962,9.10E-06,3.38E-05,-0.461465953
lcl|NC_014931.1_cds_VARPA_RS10890_2175,NA,NA,NA,0.008456191,0.017003924,-0.871250215,5.23E-12,4.32E-11,-0.605511987
lcl|NC_014931.1_cds_VARPA_RS11625_2323,NA,NA,NA,5.85E-04,0.001530274,1.017843143,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS12115_2422,NA,NA,NA,0.004066224,0.008808176,0.77056729,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS13880_2776,NA,NA,NA,NA,NA,NA,6.71E-07,3.00E-06,-0.744144545
lcl|NC_014931.1_cds_VARPA_RS19490_3906,NA,NA,NA,8.12E-05,2.47E-04,0.938538706,1.65E-05,5.90E-05,-0.473172678
lcl|NC_014931.1_cds_VARPA_RS19505_3908,0.018234698,0.04231449,-0.362389464,0.003515416,0.007713412,-0.781179657,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS19540_3915,0.001827817,0.005520698,-0.365679631,NA,NA,NA,5.22E-10,3.49E-09,-0.642815168
lcl|NC_014931.1_cds_VARPA_RS20425_4088,8.50E-05,3.38E-04,-0.408455095,0.012760846,0.024420627,1.331246787,9.75E-09,5.62E-08,0.50946496
lcl|NC_014931.1_cds_VARPA_RS23525_4714,NA,NA,NA,0.00142796,0.003450323,0.643870909,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS25605_5131,5.08E-04,0.00173128,0.332448959,NA,NA,NA,0.00225164,0.005429948,-0.399710215
lcl|NC_014931.1_cds_VARPA_RS26610_5336,NA,NA,NA,NA,NA,NA,2.39E-19,3.48E-18,-1.22301155
lcl|NC_014931.1_cds_VARPA_RS28095_5629,1.44E-05,6.39E-05,0.464191036,0.001119483,0.002770257,-0.709254736,NA,NA,NA
