target_id,qval_illumina_25,b_illumina_25,qval_illumina_30,b_illumina_30,qval_EPS_RNA_25,b_EPS_RNA_25,qval_SRR_RNA_30,b_SRR_RNA_30
lcl|NC_014931.1_cds_VARPA_RS03465_691,1.22E-12,-1.27778434,NA,NA,NA,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS08910_1778,4.31E-04,-0.299031909,3.84E-12,-3.52446399,2.60E-69,-3.011569082,5.18E-11,0.798974046
lcl|NC_014931.1_cds_VARPA_RS09670_1931,NA,NA,NA,NA,0.009006523,0.515028844,0.00199615,0.419540227
lcl|NC_014931.1_cds_VARPA_RS09815_1962,NA,NA,0.006775474,0.592963355,6.62E-04,-0.478908495,1.24E-38,-1.164707026
lcl|NC_014931.1_cds_VARPA_RS10825_2162,9.70E-13,-0.789415538,1.65E-09,-1.725015962,NA,NA,3.38E-05,-0.461465953
lcl|NC_014931.1_cds_VARPA_RS10890_2175,NA,NA,0.017003924,-0.871250215,NA,NA,4.32E-11,-0.605511987
lcl|NC_014931.1_cds_VARPA_RS11625_2323,NA,NA,0.001530274,1.017843143,5.27E-09,1.022987633,NA,NA
lcl|NC_014931.1_cds_VARPA_RS12035_2405,NA,NA,NA,NA,1.51E-04,0.495889968,NA,NA
lcl|NC_014931.1_cds_VARPA_RS12115_2422,NA,NA,0.008808176,0.77056729,1.48E-10,1.378033818,NA,NA
lcl|NC_014931.1_cds_VARPA_RS13880_2776,NA,NA,NA,NA,9.92E-04,0.708412612,3.00E-06,-0.744144545
lcl|NC_014931.1_cds_VARPA_RS19490_3906,NA,NA,2.47E-04,0.938538706,1.29E-05,0.972106543,5.90E-05,-0.473172678
lcl|NC_014931.1_cds_VARPA_RS19505_3908,0.04231449,-0.362389464,0.007713412,-0.781179657,NA,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS19540_3915,0.005520698,-0.365679631,NA,NA,NA,NA,3.49E-09,-0.642815168
lcl|NC_014931.1_cds_VARPA_RS20425_4088,3.38E-04,-0.408455095,0.024420627,1.331246787,NA,NA,5.62E-08,0.50946496
lcl|NC_014931.1_cds_VARPA_RS23525_4714,NA,NA,0.003450323,0.643870909,0.002777892,0.412182071,NA,NA
lcl|NC_014931.1_cds_VARPA_RS25605_5131,0.00173128,0.332448959,NA,NA,7.16E-07,0.667428226,0.005429948,-0.399710215
lcl|NC_014931.1_cds_VARPA_RS26610_5336,NA,NA,NA,NA,NA,NA,3.48E-18,-1.22301155
lcl|NC_014931.1_cds_VARPA_RS28095_5629,6.39E-05,0.464191036,0.002770257,-0.709254736,0.001186451,-0.512674559,NA,NA
lcl|NC_014931.1_cds_VARPA_RS30290_4246,2.61E-04,0.373593984,1.09E-12,-1.73733084,NA,NA,1.96E-08,-0.651853245
lcl|NC_014931.1_cds_VARPA_RS30415_650,NA,NA,NA,NA,NA,NA,0.037807275,-0.911773113
lcl|NC_014931.1_cds_VARPA_RS30615_2867,NA,NA,0.002632944,-1.646446081,0.007871907,-0.905597667,NA,NA
lcl|NC_014931.1_cds_VARPA_RS30645_3501,0.029729175,-0.70732641,4.87E-04,-2.31006153,0.002085795,-1.084290645,0.049821031,-0.999795305
lcl|NC_014931.1_cds_VARPA_RS30675_3770,NA,NA,NA,NA,0.002279531,0.572047302,NA,NA
lcl|NC_014931.1_cds_VARPA_RS30795_4740,0.015291386,0.268727347,2.93E-05,0.904992693,2.69E-14,1.003791902,0.003678835,-0.277240075
lcl|NC_014931.1_cds_VARPA_RS30815_5129,NA,NA,NA,NA,NA,NA,4.54E-04,-0.883993864
lcl|NC_014931.1_cds_VARPA_RS31565_1204,5.00E-09,-1.582803765,NA,NA,3.87E-04,0.705122134,0.024363788,-0.36836895
lcl|NC_014931.1_cds_VARPA_RS31590_1955,NA,NA,NA,NA,NA,NA,0.014914139,0.823187518
lcl|NC_014931.1_cds_VARPA_RS31680_3761,NA,NA,0.036397534,-0.958786856,NA,NA,0.015234963,0.378391323
lcl|NC_014931.1_cds_VARPA_RS31690_3913,NA,NA,NA,NA,2.63E-06,1.175350856,NA,NA
lcl|NC_014931.1_cds_VARPA_RS31780_5522,0.015684478,0.230824655,1.47E-05,-0.986210113,NA,NA,9.55E-10,-0.584548845
lcl|NC_014931.1_cds_VARPA_RS31790_5741,0.024029786,-0.326562695,NA,NA,NA,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS31810_5916,3.47E-04,-0.520745615,0.044841145,-0.564125322,4.54E-17,-1.960831242,1.89E-04,0.53364989
lcl|NC_014931.1_cds_VARPA_RS31875_1584,NA,NA,NA,NA,2.87E-07,-1.335725048,NA,NA
lcl|NC_014931.1_cds_VARPA_RS31900_2040,NA,NA,NA,NA,0.033950878,1.113371839,NA,NA
lcl|NC_014931.1_cds_VARPA_RS31915_4900,NA,NA,0.001146437,1.354339579,NA,NA,0.024100846,0.467739298
lcl|NC_014931.1_cds_WP_007827948.1_5305,NA,NA,7.51E-65,-3.712061426,5.58E-28,-2.422177476,3.67E-23,0.884849523
lcl|NC_014931.1_cds_WP_007828186.1_3748,NA,NA,2.34E-34,3.268329094,1.01E-16,1.920381001,1.53E-08,0.553550291
lcl|NC_014931.1_cds_WP_007828190.1_3745,NA,NA,0.0123182,1.110498546,NA,NA,0.005134157,0.438148919
lcl|NC_014931.1_cds_WP_007829250.1_2679,9.26E-05,-1.317451027,NA,NA,6.64E-04,-0.847084257,NA,NA
lcl|NC_014931.1_cds_WP_007830291.1_1381,0.001299233,-0.399067555,1.62E-11,-2.362527584,1.25E-10,-1.557670869,1.67E-30,1.018029188
lcl|NC_014931.1_cds_WP_007830293.1_1382,1.71E-19,-0.763186044,4.25E-22,-2.241698468,4.75E-20,-1.934002006,1.10E-12,0.641252192
lcl|NC_014931.1_cds_WP_007830466.1_1527,5.14E-12,-0.713907849,1.47E-08,-1.948720016,2.50E-10,-1.511370655,2.63E-06,-0.465060786
lcl|NC_014931.1_cds_WP_007830471.1_1532,1.89E-09,-0.575940172,9.87E-13,-1.767303521,8.98E-15,-1.998016067,1.35E-06,-0.602687211
lcl|NC_014931.1_cds_WP_007830705.1_1970,NA,NA,4.10E-10,-1.338389822,NA,NA,NA,NA
lcl|NC_014931.1_cds_WP_007830775.1_2083,2.25E-08,-0.401994318,1.98E-10,-2.005884486,1.57E-20,-2.085302156,5.25E-06,0.446754861
lcl|NC_014931.1_cds_WP_007830781.1_2085,0.017504875,-0.163121349,1.21E-46,-3.074159243,2.50E-72,-2.664951348,1.48E-11,0.994407644
lcl|NC_014931.1_cds_WP_007830801.1_2094,4.99E-11,-0.474833247,NA,NA,3.30E-04,-0.825820206,0.014915396,-0.512733841
lcl|NC_014931.1_cds_WP_007831049.1_636,2.05E-13,-0.45357752,8.80E-14,-2.331391955,4.16E-47,-2.3529953,4.17E-21,0.839378871
lcl|NC_014931.1_cds_WP_007831346.1_1611,NA,NA,5.50E-08,-2.181881185,3.85E-18,-1.234744724,NA,NA
