,target_id,pval_RNA_wt_log,pval_RNA_wt_stationary
1,lcl|NC_014931.1_cds_VARPA_RS03465_691,0.004590856,0.281015403
2,lcl|NC_014931.1_cds_VARPA_RS05595_1119,0.011005918,0.021152502
3,lcl|NC_014931.1_cds_VARPA_RS08910_1778,7.48E-23,0.00033745
4,lcl|NC_014931.1_cds_VARPA_RS09670_1931,0.32902504,0.000112878
5,lcl|NC_014931.1_cds_VARPA_RS09815_1962,1.69E-24,0.578476444
6,lcl|NC_014931.1_cds_VARPA_RS10825_2162,0.649336474,0.000129445
7,lcl|NC_014931.1_cds_VARPA_RS10890_2175,0.000460115,0.8831071
8,lcl|NC_014931.1_cds_VARPA_RS11625_2323,1.68E-06,7.32E-05
9,lcl|NC_014931.1_cds_VARPA_RS12035_2405,0.993109004,0.436914979
10,lcl|NC_014931.1_cds_VARPA_RS12115_2422,1.94E-07,1.07E-06
11,lcl|NC_014931.1_cds_VARPA_RS13880_2776,1.10E-13,2.54E-34
12,lcl|NC_014931.1_cds_VARPA_RS15795_3168,0.005200748,0.110280149
13,lcl|NC_014931.1_cds_VARPA_RS19490_3906,0.001053687,0.941039131
14,lcl|NC_014931.1_cds_VARPA_RS19505_3908,0.004259543,8.82E-05
15,lcl|NC_014931.1_cds_VARPA_RS19540_3915,0.658547372,8.18E-07
16,lcl|NC_014931.1_cds_VARPA_RS20425_4088,3.83E-05,0.701656992
17,lcl|NC_014931.1_cds_VARPA_RS23525_4714,0.003704597,0.013416451
18,lcl|NC_014931.1_cds_VARPA_RS25605_5131,9.87E-08,0.023139836
19,lcl|NC_014931.1_cds_VARPA_RS26610_5336,1.57E-05,0.002623884
20,lcl|NC_014931.1_cds_VARPA_RS28095_5629,0.882138338,0.522220156
21,lcl|NC_014931.1_cds_VARPA_RS30290_4246,0.002473873,0.237066359
22,lcl|NC_014931.1_cds_VARPA_RS30415_650,0.021997666,4.77E-07
23,lcl|NC_014931.1_cds_VARPA_RS30615_2867,0.00020693,2.54E-08
24,lcl|NC_014931.1_cds_VARPA_RS30645_3501,2.63E-05,6.19E-11
25,lcl|NC_014931.1_cds_VARPA_RS30675_3770,0.0001491,0.016439939
26,lcl|NC_014931.1_cds_VARPA_RS30795_4740,9.24E-07,0.007418501
