target_id,pval_temp_25_wt,pval_temp_30_wt,pval_RNA_Seq_wt
lcl|NC_014931.1_cds_VARPA_RS03465_691,7.00E-45,4.73E-04,0.281015403
lcl|NC_014931.1_cds_VARPA_RS05595_1119,0.150341016,6.83E-04,0.021152502
lcl|NC_014931.1_cds_VARPA_RS08910_1778,4.71E-15,2.25E-05,3.37E-04
lcl|NC_014931.1_cds_VARPA_RS09670_1931,0.796728969,0.240142195,1.13E-04
lcl|NC_014931.1_cds_VARPA_RS09815_1962,0.279541144,0.71407559,0.578476444
lcl|NC_014931.1_cds_VARPA_RS10825_2162,3.59E-06,0.010664502,1.29E-04
lcl|NC_014931.1_cds_VARPA_RS10890_2175,0.071113527,0.874304302,0.8831071
lcl|NC_014931.1_cds_VARPA_RS11625_2323,1.68E-11,0.302934172,7.32E-05
lcl|NC_014931.1_cds_VARPA_RS12035_2405,0.112137219,0.901199795,0.436914979
lcl|NC_014931.1_cds_VARPA_RS12115_2422,0.005239474,0.47055243,1.07E-06
lcl|NC_014931.1_cds_VARPA_RS13880_2776,0.214430426,0.595531304,2.54E-34
lcl|NC_014931.1_cds_VARPA_RS15795_3168,0.757976546,0.629458535,0.110280149
lcl|NC_014931.1_cds_VARPA_RS19490_3906,3.28E-05,0.570542076,0.941039131
lcl|NC_014931.1_cds_VARPA_RS19505_3908,0.125201906,5.44E-05,8.82E-05
lcl|NC_014931.1_cds_VARPA_RS19540_3915,0.109822741,0.436435087,8.18E-07
lcl|NC_014931.1_cds_VARPA_RS20425_4088,0.424720207,0.661582375,0.701656992
lcl|NC_014931.1_cds_VARPA_RS23525_4714,0.309076732,0.068349235,0.013416451
lcl|NC_014931.1_cds_VARPA_RS25605_5131,0.023321768,0.887865257,0.023139836
lcl|NC_014931.1_cds_VARPA_RS26610_5336,0.396365403,0.478044605,0.002623884
lcl|NC_014931.1_cds_VARPA_RS28095_5629,2.87E-06,0.677414069,0.522220156
lcl|NC_014931.1_cds_VARPA_RS30290_4246,1.04E-07,0.00305493,0.237066359
lcl|NC_014931.1_cds_VARPA_RS30415_650,0.294939519,0.299035239,4.77E-07
lcl|NC_014931.1_cds_VARPA_RS30615_2867,3.08E-04,0.737568298,2.54E-08
lcl|NC_014931.1_cds_VARPA_RS30645_3501,0.955122001,0.091350466,6.19E-11
lcl|NC_014931.1_cds_VARPA_RS30675_3770,7.25E-04,0.110948518,0.016439939
lcl|NC_014931.1_cds_VARPA_RS30795_4740,3.84E-10,0.823724558,0.007418501
lcl|NC_014931.1_cds_VARPA_RS30815_5129,0.024801691,0.301380159,0.098339262
lcl|NC_014931.1_cds_VARPA_RS31375_3167,0.2065571,NA,0.523335904
lcl|NC_014931.1_cds_VARPA_RS31565_1204,0.002219208,0.358947661,0.513979592
lcl|NC_014931.1_cds_VARPA_RS31590_1955,0.002934434,0.512302763,0.032447759
lcl|NC_014931.1_cds_VARPA_RS31640_2961,NA,NA,NA
lcl|NC_014931.1_cds_VARPA_RS31680_3761,0.018804998,3.81E-12,0.489625303
lcl|NC_014931.1_cds_VARPA_RS31685_3905,NA,NA,0.034468052
lcl|NC_014931.1_cds_VARPA_RS31690_3913,0.006344646,0.083505949,0.784574228
lcl|NC_014931.1_cds_VARPA_RS31765_5147,NA,NA,0.193339683
lcl|NC_014931.1_cds_VARPA_RS31780_5522,0.258984373,0.332539457,0.031027977
