target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_014931.1_cds_WP_013543870.1_5515,0.021994022,0.050020159,-0.167388898,0.073080554,8.816625438,0.014814634,1.68E-04,0.007842789,0.00587145,0.007842789
lcl|NC_014931.1_cds_WP_013539611.1_1147,0.022014169,0.050046782,-0.404429495,0.176597256,4.103978134,0.086492874,0.016479888,0.030299999,0.023889001,0.030299999
lcl|NC_014931.1_cds_WP_013538609.1_138,0.022023458,0.050048708,-0.372672116,0.16274154,4.26753952,0.073447122,0.014446463,0.02528075,0.021372794,0.02528075
lcl|NC_014931.1_cds_WP_013542953.1_4574,0.022034648,0.050054954,-0.261704859,0.114293073,5.077848638,0.026613357,0.006771724,8.11E-04,0.012822636,0.012822636
lcl|NC_014931.1_cds_WP_013540087.1_1640,0.022105276,0.050196163,-0.151810171,0.066334536,6.827265716,0.008937208,0.001120281,0.001408856,0.005480125,0.005480125
lcl|NC_014931.1_cds_WP_013540726.1_2292,0.022362632,0.050761119,0.842224699,0.368725418,3.202307046,0.375952854,0.063881638,0.140056013,0.047264014,0.140056013
lcl|NC_014931.1_cds_WP_013540675.1_2240,0.022397382,0.050801102,0.207147977,0.090712723,5.794510879,0.016260043,0.003636663,5.97E-04,0.008706534,0.008706534
lcl|NC_014931.1_cds_WP_013540836.1_2402,0.022394633,0.050801102,-0.745722019,0.326554433,2.722856583,0.287911932,0.087138087,0.06421383,0.07281861,0.07281861
lcl|NC_014931.1_cds_WP_013540649.1_2214,0.022463903,0.050932497,0.135649673,0.059432101,8.205951639,0.007602341,2.77E-04,0.002325612,0.005021261,0.005021261
lcl|NC_014931.1_cds_WP_013541406.1_2990,0.022479535,0.050948456,-0.296498608,0.129919819,5.089001862,0.046628418,0.007119825,0.018198914,0.012738188,0.018198914
lcl|NC_014931.1_cds_WP_144298933.1_196,0.02261862,0.051244096,1.123716039,0.492897751,3.694459505,0.670359152,0.053639342,0.310782947,0.031804716,0.310782947
lcl|NC_014931.1_cds_WP_013541591.1_3176,0.022680268,0.051364136,0.240792148,0.105667227,5.334995154,0.029863581,0.005697694,0.009888961,0.01105065,0.01105065
lcl|NC_014931.1_cds_WP_013538881.1_411,0.022739747,0.051475549,-0.197827093,0.086850871,5.870395724,0.016440761,0.002938835,0.002936282,0.008375776,0.008375776
lcl|NC_014931.1_cds_WP_013540273.1_1828,0.022746827,0.051475549,0.63938897,0.280721836,3.85172113,0.217211176,0.028809171,0.089397953,0.028414679,0.089397953
lcl|NC_014931.1_cds_WP_013543681.1_5323,0.02280366,0.051584472,-0.202295249,0.088854274,5.801530279,0.019245792,0.003167408,0.005543569,0.008675215,0.008675215
lcl|NC_014931.1_cds_WP_013539691.1_1229,0.022856387,0.051664323,-0.169082087,0.074294801,8.598088976,0.015200287,2.00E-04,0.008079216,0.005482408,0.008079216
lcl|NC_014931.1_cds_WP_013540759.1_2327,0.022851715,0.051664323,-0.342321657,0.150411245,4.33360687,0.042618257,0.013482977,-0.0041542,0.020452337,0.020452337
lcl|NC_014931.1_cds_WP_013544235.1_5900,0.022877167,0.051691587,-0.172443191,0.075783224,6.30977683,0.013571414,0.001832113,0.003980909,0.006782532,0.006782532
lcl|NC_014931.1_cds_WP_013539549.1_1083,0.02292722,0.051768181,-0.256535187,0.112780307,5.040140963,0.024160549,0.005965627,-4.44E-04,0.013113469,0.013113469
lcl|NC_014931.1_cds_WP_013541161.1_2733,0.02293726,0.051768181,-0.478262364,0.210273458,3.533633314,0.108990629,0.030398012,0.020064692,0.035924379,0.035924379
lcl|NC_014931.1_cds_WP_041942895.1_2761,0.022932787,0.051768181,0.200101364,0.087973947,5.980645366,0.021299465,0.002998283,0.00861084,0.007925419,0.00861084
lcl|NC_014931.1_cds_WP_013543999.1_5654,0.023092797,0.05209939,0.498395093,0.219374087,3.496135565,0.085527186,0.035184584,-0.021424727,0.037002901,0.037002901
lcl|NC_014931.1_cds_WP_013541276.1_2856,0.023168839,0.052251064,0.558882318,0.246134376,3.224118233,0.106228569,0.044488699,-0.028834029,0.046384498,0.046384498
lcl|NC_014931.1_cds_WP_013540511.1_2070,0.023256922,0.052429768,-0.477037747,0.210224026,3.570519375,0.108516942,0.03138091,0.018928388,0.034910301,0.034910301
lcl|NC_014931.1_cds_WP_013538758.1_288,0.023400243,0.052712781,-0.153341854,0.067645763,6.995262675,0.012545256,9.40E-04,0.005923919,0.005211038,0.005923919
lcl|NC_014931.1_cds_WP_041943093.1_5848,0.023394035,0.052712781,-0.135278551,0.059674579,8.26427754,0.006522772,2.69E-04,0.001021538,0.005072263,0.005072263
lcl|NC_014931.1_cds_WP_013538813.1_343,0.023410307,0.052715424,-0.486087926,0.214450108,4.142627286,0.12607106,0.017826461,0.051156812,0.023267656,0.051156812
lcl|NC_014931.1_cds_WP_200861448.1_221,0.023433868,0.052748446,0.322597639,0.142346384,4.609070896,0.055535763,0.01200887,0.01838487,0.017119741,0.01838487
lcl|NC_014931.1_cds_WP_013543893.1_5539,0.023523297,0.052929651,0.152162196,0.067184909,7.838656116,0.012362574,3.84E-04,0.006387114,0.004829161,0.006387114
lcl|NC_014931.1_cds_WP_013541356.1_2937,0.023650271,0.053195167,0.421614439,0.186327222,3.899910227,0.078214348,0.024601473,0.006506936,0.027475277,0.027475277
lcl|NC_014931.1_cds_WP_013541249.1_2830,0.023704564,0.053297064,-0.142691439,0.063085212,7.063578024,0.010150208,8.42E-04,0.004210833,0.005128006,0.005128006
