target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_014931.1_cds_WP_013540968.1_2539,1.04E-170,6.17E-167,6.240874688,0.224078058,6.242979932,11.74301645,0.016925205,0.056151531,0.058391259,0.058391259
lcl|NC_014931.1_cds_WP_013540330.1_1885,4.09E-130,1.22E-126,5.226278301,0.215341105,7.288913036,8.235828629,0.003364892,0.048676564,0.066192795,0.066192795
lcl|NC_014931.1_cds_WP_013543391.1_5021,5.85E-106,1.16E-102,5.344128091,0.244437706,5.550685503,8.639611267,0.030696386,0.058928303,0.056886309,0.058928303
lcl|NC_014931.1_cds_WP_013540329.1_1884,2.11E-92,3.13E-89,5.038263509,0.247111104,5.650446142,7.688506434,0.017468882,0.074126965,0.056869907,0.074126965
lcl|NC_014931.1_cds_WP_007838129.1_5593,5.55E-87,6.60E-84,-4.914325125,0.248592699,6.204148894,7.319335427,0.017452785,0.07524471,0.058196972,0.07524471
lcl|NC_014931.1_cds_WP_013539103.1_5599,6.42E-83,6.36E-80,-4.277507933,0.221738274,7.703772325,5.520704355,0.003426975,0.036050674,0.070324818,0.070324818
lcl|NC_014931.1_cds_WP_013543941.1_5592,7.57E-83,6.43E-80,-4.188845063,0.217238357,7.323696706,5.320557893,0.003639305,0.06714945,0.066515517,0.06714945
lcl|NC_014931.1_cds_WP_007838118.1_5598,9.84E-83,7.31E-80,-4.68959709,0.243379187,5.561111453,6.634706305,0.031969363,0.014293193,0.05688078,0.05688078
lcl|NC_014931.1_cds_WP_013539519.1_1053,2.73E-82,1.81E-79,3.989001085,0.207590385,6.665594848,4.789739642,0.003551049,0.016574881,0.061089603,0.061089603
lcl|NC_014931.1_cds_WP_013542530.1_4143,7.10E-75,4.22E-72,5.112879998,0.27926507,6.190956586,7.936049339,0.012325278,0.104658191,0.058133611,0.104658191
