target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_014931.1_cds_WP_013539052.1_583,0,0,5.407440707,0.14088788,7.197232984,8.788666274,0.007511224,0.013165994,0.022262869,0.022262869
lcl|NC_014931.1_cds_WP_013539051.1_582,9.64E-241,2.84E-237,4.589175008,0.138503601,6.659384453,6.325153554,0.007976467,7.68E-04,0.020798404,0.020798404
lcl|NC_014931.1_cds_WP_013542704.1_4319,1.37E-216,2.69E-213,4.265989071,0.135805946,7.990607255,5.464453709,0.002207103,0.003861502,0.02545778,0.02545778
lcl|NC_014931.1_cds_WP_013542705.1_4320,2.23E-205,3.29E-202,4.361604807,0.142627682,7.223931336,5.731490135,0.005291761,0.025222223,0.022350334,0.025222223
lcl|NC_014931.1_cds_WP_013539107.1_640,7.89E-205,9.31E-202,-4.177095217,0.136778615,8.325580192,5.240268986,8.47E-04,0.006442878,0.027215901,0.027215901
lcl|NC_014931.1_cds_WP_013539103.1_5599,1.64E-199,1.61E-196,-4.123479635,0.136829639,8.2091137,5.120026205,0.001509166,0.022366978,0.026574359,0.026574359
lcl|NC_014931.1_cds_WP_013543867.1_5512,4.36E-198,3.67E-195,-4.030398339,0.134225826,7.589994714,4.894853118,0.001766211,0.025258647,0.023685498,0.025258647
lcl|NC_014931.1_cds_WP_013542699.1_4314,5.87E-194,4.33E-191,4.242579255,0.142804381,6.321436978,5.423957306,0.010253492,0.019888616,0.020336145,0.020336145
lcl|NC_014931.1_cds_WP_013544108.1_5770,8.40E-192,5.50E-189,-3.846393614,0.130202237,7.65988298,4.442274831,0.001458578,0.003356023,0.023970356,0.023970356
lcl|NC_014931.1_cds_WP_013544109.1_5772,6.82E-188,4.02E-185,-4.007490261,0.13707518,8.362548757,4.827311808,7.58E-04,0.010890066,0.027426536,0.027426536
lcl|NC_014931.1_cds_WP_013543939.1_5587,6.98E-183,3.74E-180,-3.711391132,0.128693843,7.497200995,4.143758919,0.00152069,0.012768908,0.023322468,0.023322468
lcl|NC_014931.1_cds_WP_009124825.1_5766,4.48E-181,2.20E-178,-3.714152293,0.129438162,7.448192674,4.154318444,0.001993757,0.017806577,0.0231376,0.0231376
lcl|NC_014931.1_cds_WP_013539108.1_641,2.95E-164,1.34E-161,-3.550416278,0.129988761,7.693033873,3.800542678,0.001236644,0.0223958,0.024108974,0.024108974
lcl|NC_014931.1_cds_WP_013542019.1_3608,4.53E-162,1.91E-159,3.584541225,0.132131298,6.92095035,3.875631153,0.00439874,0.021789279,0.021432784,0.021789279
lcl|NC_014931.1_cds_WP_013541272.1_2852,3.56E-160,1.40E-157,-3.478994669,0.129006903,7.535455697,3.643969977,0.001494119,0.014691888,0.023470052,0.023470052
lcl|NC_014931.1_cds_WP_013539034.1_565,1.09E-156,4.03E-154,3.923533516,0.147122918,5.941606971,4.630408103,0.012014365,0.003202546,0.020453365,0.020453365
lcl|NC_014931.1_cds_WP_013542700.1_4315,2.77E-156,9.59E-154,3.715923047,0.139519686,6.070658107,4.146015338,0.008857913,-0.004370274,0.020340702,0.020340702
lcl|NC_014931.1_cds_WP_013543025.1_4648,3.38E-156,1.11E-153,5.098929311,0.191500453,5.932950003,7.843730944,0.024143729,0.030864907,0.020463173,0.030864907
lcl|NC_014931.1_cds_WP_013544105.1_5767,5.30E-156,1.64E-153,-3.853719543,0.144826019,7.485368984,4.480515787,0.002009995,0.029451869,0.023277405,0.029451869
lcl|NC_014931.1_cds_WP_013542401.1_4007,3.92E-149,1.15E-146,-3.277110711,0.125999063,6.5220124,3.240763544,0.003259289,0.020399661,0.020554357,0.020554357
lcl|NC_014931.1_cds_WP_013542407.1_4014,4.44E-149,1.25E-146,-3.306812535,0.127164634,6.939095128,3.284574812,0.002773077,0.00231701,0.02148319,0.02148319
lcl|NC_014931.1_cds_WP_013543866.1_5511,6.28E-148,1.68E-145,-3.488582805,0.134682658,8.186038011,3.664274539,7.58E-04,0.015756453,0.026451153,0.026451153
lcl|NC_014931.1_cds_WP_013543940.1_5589,9.14E-148,2.34E-145,-3.695517923,0.142751434,8.78474772,4.118159977,4.81E-04,0.025899019,0.030085776,0.030085776
lcl|NC_014931.1_cds_WP_013539973.1_1518,1.70E-146,4.16E-144,-3.270671949,0.126893673,6.82485958,3.222803165,0.002975718,0.014042614,0.021177288,0.021177288
lcl|NC_014931.1_cds_WP_013542706.1_4321,2.35E-144,5.55E-142,3.609212608,0.141077993,6.161085113,3.920738051,0.009554527,0.006462168,0.020299973,0.020299973
lcl|NC_014931.1_cds_WP_013541791.1_3380,2.46E-141,5.58E-139,-3.176827646,0.125515359,6.727432503,3.03205356,0.002687253,0.002791986,0.020943905,0.020943905
lcl|NC_014931.1_cds_WP_013542702.1_4317,6.65E-141,1.45E-138,3.403110895,0.13466432,6.166423947,3.48196568,0.006902737,0.002617953,0.020298981,0.020298981
lcl|NC_014931.1_cds_WP_013542127.1_3716,4.65E-140,9.78E-138,-3.211101112,0.127454411,7.369942841,3.111675195,0.00151486,0.021390252,0.022852081,0.022852081
lcl|NC_014931.1_cds_WP_013543865.1_5510,3.77E-133,7.67E-131,-3.180010743,0.129502773,7.682828962,3.04696067,0.001090391,0.015434824,0.024066061,0.024066061
lcl|NC_014931.1_cds_WP_013542197.1_3791,4.03E-129,7.91E-127,4.056788599,0.167805765,5.531465172,4.964696843,0.020870871,0.01342503,0.021367291,0.021367291
lcl|NC_014931.1_cds_WP_013539020.1_552,2.40E-127,4.57E-125,4.352987579,0.181328815,5.397244943,5.687232455,0.027399625,-0.02404688,0.021920584,0.021920584
lcl|NC_014931.1_cds_WP_013543798.1_5441,1.78E-126,3.29E-124,-3.41595008,0.142791907,7.921068922,3.525081918,0.001157624,0.029426669,0.025125329,0.029426669
lcl|NC_014931.1_cds_WP_013539053.1_584,4.78E-126,8.54E-124,4.795095938,0.200787794,5.228767368,6.917040592,0.037676929,-0.013730585,0.022796678,0.022796678
